               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  56,            0.040069,            0.022091,            0.018473,             0.72968,             0.65572,             0.69143,             0.35929,            0.041363,           0.0088953,            0.017726,            0.004555,            0.004555,            0.004555
                  57,            0.039681,            0.021564,            0.018068,             0.71213,             0.67118,             0.68076,              0.3582,            0.040718,           0.0089547,            0.017326,            0.004456,            0.004456,            0.004456
                  58,            0.040105,            0.022278,            0.017926,             0.74294,             0.66404,             0.68651,             0.36804,            0.040345,           0.0088301,            0.015935,            0.004357,            0.004357,            0.004357
                  59,            0.039991,            0.022099,            0.017831,             0.71386,             0.66405,              0.6776,             0.35668,            0.040636,           0.0089103,            0.015784,            0.004258,            0.004258,            0.004258
                  60,            0.039823,            0.022097,            0.017699,             0.73957,             0.65506,             0.66871,             0.34745,             0.04087,           0.0090266,            0.015763,            0.004159,            0.004159,            0.004159
                  61,            0.039669,            0.022049,            0.017592,             0.74287,             0.65654,             0.69326,             0.36485,             0.04066,           0.0087632,            0.015753,             0.00406,             0.00406,             0.00406
                  62,            0.039017,            0.021764,            0.016789,             0.73215,              0.6766,             0.70181,             0.37234,            0.040672,           0.0088026,            0.015472,            0.003961,            0.003961,            0.003961
                  63,            0.038563,            0.021875,            0.016763,             0.70912,             0.68772,             0.69222,             0.37209,              0.0407,           0.0086921,            0.015429,            0.003862,            0.003862,            0.003862
                  64,            0.038798,            0.021756,            0.016735,             0.72581,             0.67622,             0.70032,             0.37822,            0.040581,           0.0086591,             0.01607,            0.003763,            0.003763,            0.003763
                  65,            0.038904,            0.022005,            0.016179,             0.73286,             0.68609,             0.69962,             0.37323,            0.040346,           0.0086222,            0.016276,            0.003664,            0.003664,            0.003664
                  66,            0.038698,            0.022042,            0.016376,              0.7488,             0.69187,             0.70018,              0.3767,            0.040561,           0.0085845,              0.0168,            0.003565,            0.003565,            0.003565
                  67,            0.038663,            0.021638,            0.016005,             0.72752,             0.68955,             0.69317,             0.37577,            0.040438,           0.0086361,            0.014723,            0.003466,            0.003466,            0.003466
                  68,            0.038342,            0.021728,            0.015914,             0.72705,             0.68771,             0.69766,             0.37353,            0.040722,            0.008719,            0.014865,            0.003367,            0.003367,            0.003367
                  69,            0.038656,            0.021701,             0.01602,             0.71721,             0.70248,             0.69462,             0.37659,            0.040513,           0.0086614,            0.017457,            0.003268,            0.003268,            0.003268
                  70,            0.038888,            0.021896,            0.015719,             0.75212,             0.68053,             0.71186,             0.38168,            0.040088,           0.0086961,            0.015909,            0.003169,            0.003169,            0.003169
                  71,            0.038172,            0.021443,            0.015394,             0.75947,             0.68204,             0.71857,             0.38961,            0.040135,           0.0087014,            0.015356,             0.00307,             0.00307,             0.00307
                  72,            0.038449,            0.021904,            0.015601,             0.74768,             0.68628,             0.70299,             0.37902,            0.040267,           0.0086691,            0.015777,            0.002971,            0.002971,            0.002971
                  73,            0.038009,            0.021353,             0.01546,             0.74284,             0.68803,             0.70465,             0.38079,            0.040074,           0.0087209,            0.015274,            0.002872,            0.002872,            0.002872
                  74,            0.037302,            0.021372,            0.015531,              0.7427,             0.68659,             0.70499,             0.38234,            0.039912,           0.0086327,            0.016415,            0.002773,            0.002773,            0.002773
